EDAD_CLIENTE;930;63717;745;417;5950;59976;55346;306;294;221;56031;7068;55348;55431;249;726;48425;63697;5048;5047;817;17712;963;135;60081;64984;745;63717;63723;63711;63714;63719;63694;63712;63720;63725;63695;63696;63689;63721;63690;63722;404;63692;60059;63697;366;19761;55347;63715;63716;63718;555
0;0.00083477;0.00083477;0.00007857;0.00083477;0.00083477;0.00091334;0.00007857;0.00000547;0.0000731;0.00006918;;0.000444;0.01841;0.000118;0.000402;0.001679;1.909;0.9552;0.336;0.348;0.00083477;0.00091334;0.000402;0.336;0.00083477;0.00006918;0.00007857;0.00083477;0.00007857;0.00091334;0.00091334;0.00006918;0.000444;0.01841;0.001679;1.909;0.336;0.348;0.000402;0.00007857;0.000402;0.00007857;0.00007857;1.909;0.00091334;0.9552;7.85747E-05;0.000402;0.000834765;0.000834765;7.85747E-05;6.9177E-05;0.000402
1;0.00083492;0.00083492;0.00007857;0.00083492;0.00083492;0.0009135;0.00007857;0.00000547;0.0000731;0.00007375;;0.000444;0.01841;0.000118;0.000402;0.001679;1.909;0.9552;0.336;0.348;0.00083492;0.0009135;0.000402;0.336;0.00083492;0.00007375;0.00007857;0.00083492;0.00007857;0.0009135;0.0009135;0.00007375;0.000444;0.01841;0.001679;1.909;0.336;0.348;0.000402;0.00007857;0.000402;0.00007857;0.00007857;1.909;0.0009135;0.9552;7.85747E-05;0.000402;0.000834922;0.000834922;7.85747E-05;7.37461E-05;0.000402
2;0.0008351;0.0008351;0.00007857;0.0008351;0.0008351;0.00091368;0.00007857;0.00000547;0.0000731;0.00007862;;0.000444;0.01841;0.000118;0.000402;0.001679;1.909;0.9552;0.336;0.348;0.0008351;0.00091368;0.000402;0.336;0.0008351;0.00007862;0.00007857;0.0008351;0.00007857;0.00091368;0.00091368;0.00007862;0.000444;0.01841;0.001679;1.909;0.336;0.348;0.000402;0.00007857;0.000402;0.00007857;0.00007857;1.909;0.00091368;0.9552;7.85747E-05;0.000402;0.000835101;0.000835101;7.85747E-05;7.8617E-05;0.000402
3;0.0008353;0.0008353;0.00007857;0.0008353;0.0008353;0.00091388;0.00007857;0.00000547;0.0000731;0.00008381;;0.000444;0.01841;0.000118;0.000402;0.001679;1.909;0.9552;0.336;0.348;0.0008353;0.00091388;0.000402;0.336;0.0008353;0.00008381;0.00007857;0.0008353;0.00007857;0.00091388;0.00091388;0.00008381;0.000444;0.01841;0.001679;1.909;0.336;0.348;0.000402;0.00007857;0.000402;0.00007857;0.00007857;1.909;0.00091388;0.9552;7.85747E-05;0.000402;0.000835303;0.000835303;7.85747E-05;8.38097E-05;0.000402
4;0.00083553;0.00083553;0.00007857;0.00083553;0.00083553;0.00091411;0.00007857;0.00000547;0.0000731;0.00008935;;0.000444;0.01841;0.000118;0.000402;0.001679;1.909;0.9552;0.336;0.348;0.00083553;0.00091411;0.000402;0.336;0.00083553;0.00008935;0.00007857;0.00083553;0.00007857;0.00091411;0.00091411;0.00008935;0.000444;0.01841;0.001679;1.909;0.336;0.348;0.000402;0.00007857;0.000402;0.00007857;0.00007857;1.909;0.00091411;0.9552;7.85747E-05;0.000402;0.000835533;0.000835533;7.85747E-05;8.93453E-05;0.000402
5;0.00083579;0.00083579;0.00007857;0.00083579;0.00083579;0.00091437;0.00007857;0.00000547;0.0000731;0.00009525;;0.000444;0.01841;0.000118;0.000402;0.001679;1.909;0.9552;0.336;0.348;0.00083579;0.00091437;0.000402;0.336;0.00083579;0.00009525;0.00007857;0.00083579;0.00007857;0.00091437;0.00091437;0.00009525;0.000444;0.01841;0.001679;1.909;0.336;0.348;0.000402;0.00007857;0.000402;0.00007857;0.00007857;1.909;0.00091437;0.9552;7.85747E-05;0.000402;0.000835793;0.000835793;7.85747E-05;9.52466E-05;0.000402
6;0.00083609;0.00083609;0.00007857;0.00083609;0.00083609;0.00091466;0.00007857;0.00000547;0.0000731;0.00010154;;0.000444;0.01841;0.000118;0.000402;0.001679;1.909;0.9552;0.336;0.348;0.00083609;0.00091466;0.000402;0.336;0.00083609;0.00010154;0.00007857;0.00083609;0.00007857;0.00091466;0.00091466;0.00010154;0.000444;0.01841;0.001679;1.909;0.336;0.348;0.000402;0.00007857;0.000402;0.00007857;0.00007857;1.909;0.00091466;0.9552;7.85747E-05;0.000402;0.000836088;0.000836088;7.85747E-05;0.000101538;0.000402
7;0.00083642;0.00083642;0.00007857;0.00083642;0.00083642;0.000915;0.00007857;0.00000547;0.0000731;0.00010824;;0.000444;0.01841;0.000118;0.000402;0.001679;1.909;0.9552;0.336;0.348;0.00083642;0.000915;0.000402;0.336;0.00083642;0.00010824;0.00007857;0.00083642;0.00007857;0.000915;0.000915;0.00010824;0.000444;0.01841;0.001679;1.909;0.336;0.348;0.000402;0.00007857;0.000402;0.00007857;0.00007857;1.909;0.000915;0.9552;7.85747E-05;0.000402;0.000836422;0.000836422;7.85747E-05;0.000108244;0.000402
8;0.0008368;0.0008368;0.00007857;0.0008368;0.0008368;0.00091538;0.00007857;0.00000547;0.0000731;0.00011539;;0.000444;0.01841;0.000118;0.000402;0.001679;1.909;0.9552;0.336;0.348;0.0008368;0.00091538;0.000402;0.336;0.0008368;0.00011539;0.00007857;0.0008368;0.00007857;0.00091538;0.00091538;0.00011539;0.000444;0.01841;0.001679;1.909;0.336;0.348;0.000402;0.00007857;0.000402;0.00007857;0.00007857;1.909;0.00091538;0.9552;7.85747E-05;0.000402;0.000836802;0.000836802;7.85747E-05;0.000115394;0.000402
